,Location,ZIP
335,"(41.8939416, -87.6587921)",60642
336,"(41.7421281, -87.6968203)",60652
337,"(41.793112, -87.687934)",60629
338,"(41.79001179999999, -87.6223529)",60637
339,"(41.6558488, -87.5986161)",60827
340,"(42.3327874, -87.8636813)",60064
341,"(41.653157, -87.6009888)",60827
342,"(41.90404179999999, -87.71457550000001)",60651
343,"(41.6875193, -87.70396290000001)",60655
344,"(41.8455403, -87.71514309999999)",60623
345,"(41.814104, -87.72782099999999)",60632
346,"(41.8832454, -87.6993324)",60612
347,"(41.9078693, -87.6358492)",60610
348,"(41.9786773, -87.6578954)",60640
349,"(41.9920952, -87.7985949)",60631
350,"(41.89431820000001, -87.71627339999999)",60624
351,"(41.954629, -87.6572544)",60613
352,"(41.8661963, -87.6951283)",60608
353,"(41.8173018, -87.5993836)",60653
354,"(41.9750319, -87.6842531)",60625
355,"(41.918172, -87.6942832)",60647
356,"(41.9678729, -87.6693414)",60640
357,"(41.8073824, -87.6657907)",60609
358,"(42.01531689999999, -87.700188)",60645
359,"(41.7677341, -87.58902479999999)",60637
360,"(41.9393428, -87.6834526)",60618
361,"(41.9430077, -87.77735589999999)",60634
362,"(41.8965186, -87.6531728)",60642
363,"(41.6913273, -87.71612239999999)",60655
364,"(41.8256821, -87.6675037)",60609
365,"(41.93177379999999, -87.7546083)",60639
366,"(41.9845136, -87.7287498)",60646
367,"(41.9442229, -87.64263179999999)",60657
368,"(41.8701894, -87.6805182)",60612
369,"(41.92249839999999, -87.68083229999999)",60647
370,"(41.7203832, -87.655901)",60643
371,"(41.9908915, -87.72756849999999)",60659
372,"(41.6844598, -87.6167782)",60628
373,"(41.7834911, -87.62153200000002)",60637
374,"(41.9217723, -87.7765625)",60639
375,"(41.8778555, -87.6991705)",60612
376,"(41.8771777, -87.7516546)",60644
377,"(41.8672328, -87.6724245)",60608
378,"(42.0129142, -87.6746679)",60626
379,"(41.8301051, -87.6189808)",60653
380,"(41.7669482, -87.62223469999999)",60637
381,"(41.7689197, -87.6563164)",60636
382,"(41.8808261, -87.65001889999999)",60607
383,"(41.7384975, -87.5725195)",60617
384,"(42.0016472, -87.6637475)",60626
385,"(41.8652136, -87.7254663)",60623
386,"(41.8648675, -87.72478029999999)",60623
387,"(41.66120799999999, -87.640973)",60628
388,"(41.7957122, -87.59386119999999)",60615
389,"(41.8507437, -87.6316269)",60616
390,"(42.0046431, -87.7045938)",60645
391,"(41.9432061, -87.762451)",60641
392,"(41.8970977, -87.6885334)",60622
393,"(41.6863447, -87.61319950000001)",60628
394,"(41.9076355, -87.7596148)",60651
395,"(41.7254553, -87.67451980000001)",60643
396,"(41.8285967, -87.6059032)",60653
397,"(41.8597919, -87.7091286)",60623
398,"(41.8016594, -87.6858604)",60632
399,"(41.9146158, -87.6775729)",60647
400,"(41.748439, -87.66944339999999)",60620
401,"(41.8828423, -87.7654124)",60644
402,"(41.8730337, -87.6854996)",60612
403,"(41.96367739999999, -87.64931589999999)",60640
404,"(41.8678731, -87.769894)",60644
405,"(41.8767224, -87.740962)",60644
406,"(41.9433816, -87.6946043)",60618
407,"(41.8724677, -87.7526627)",60644
408,"(41.65469340000001, -87.5440749)",60633
409,"(41.9033448, -87.685932)",60622
410,"(41.9026168, -87.68612949999999)",60622
411,"(41.9516981, -87.7059151)",60618
412,"(41.9931865, -87.6982638)",60659
413,"(41.6929416, -87.6807159)",60643
414,"(41.921982, -87.66321099999999)",60614
415,"(41.9129985, -87.6524106)",60614
416,"(41.9834901, -87.66135100000001)",60640
417,"(41.7837259, -87.62422699999999)",60637
418,"(41.7401361, -87.6156496)",60619
419,"(41.7964564, -87.6032658)",60615
420,"(41.6774712, -87.65955819999999)",60643
421,"(41.74161429999999, -87.5655081)",60617
422,"(41.8622781, -87.62571410000001)",60605
423,"(41.86436250000001, -87.7010703)",60623
424,"(41.8109217, -87.7044239)",60632
425,"(41.8996893, -87.6814153)",60622
426,"(41.8737893, -87.76496130000001)",60644
427,"(41.865081, -87.7247639)",60623
428,"(41.7513598, -87.6416157)",60620
429,"(41.896629, -87.6738079)",60622
430,"(41.8985952, -87.6267053)",60611
431,"(41.7458533, -87.66016599999999)",60620
432,"(41.9554175, -87.6839971)",60618
433,"(41.6812613, -87.65545940000001)",60643
434,"(41.8561772, -87.66726390000001)",60608
435,"(41.784509, -87.6573787)",60636
436,"(41.8454986, -87.7320658)",60623
437,"(41.7065428, -87.6025983)",60628
438,"(41.7958793, -87.5854264)",60615
439,"(41.802523, -87.67007269999999)",60609
440,"(41.9026045, -87.634106)",60610
441,"(41.7283392, -87.6746297)",60643
442,"(41.86191729999999, -87.6291188)",60605
443,"(41.88343, -87.75254799999999)",60644
444,"(41.69349829999999, -87.671672)",60643
445,"(41.9579923, -87.6718558)",60613
446,"(41.9281734, -87.7578479)",60639
447,"(41.876848, -87.6832325)",60612
448,"(41.8600884, -87.72772909999999)",60623
449,"(41.87909250000001, -87.67842019999999)",60612
450,"(41.92221019999999, -87.667361)",60614
451,"(41.6966693, -87.677689)",60643
452,"(41.851826, -87.67294079999999)",60608
453,"(41.852819, -87.7128551)",60623
454,"(41.7403293, -87.551096)",60617
455,"(41.7420731, -87.6535167)",60620
456,"(41.7002756, -87.6116202)",60628
457,"(41.8022402, -87.721707)",60632
458,"(41.6857487, -87.622046)",60628
459,"(41.80240149999999, -87.6724481)",60609
460,"(41.9235103, -87.7053037)",60647
461,"(41.8222433, -87.7003271)",60632
462,"(41.9019434, -87.7621073)",60651
463,"(41.8132366, -87.6668854)",60609
464,"(41.771165, -87.666045)",60636
465,"(41.7473168, -87.6730596)",60620
466,"(41.7455946, -87.71863139999999)",60652
467,"(41.8714475, -87.634244)",60607
468,"(41.8604169, -87.6279242)",60605
469,"(41.9057847, -87.6855288)",60622
470,"(41.8310164, -87.62572139999999)",60616
471,"(41.8781592, -87.7656299)",60644
472,"(41.9070952, -87.67072429999999)",60622
473,"(41.8704072, -87.6295464)",60605
474,"(41.7496558, -87.5963147)",60619
475,"(42.0095099, -87.70490769999999)",60645
476,"(41.9114042, -87.7495842)",60639
477,"(41.9909155, -87.75344899999999)",60646
478,"(41.8787797, -87.7248061)",60624
479,"(41.997559, -87.663337)",60660
480,"(41.762424, -87.624028)",60619
481,"(41.8841724, -87.6849027)",60612
482,"(41.9425567, -87.81359049999999)",60634
483,"(41.7959436, -87.6423281)",60609
484,"(41.955363, -87.7522539)",60641
485,"(41.97317200000001, -87.8416002)",60656
486,"(41.9567418, -87.64699139999999)",60613
