Latitude,Location,Longitude,ZIP
41.926418831,"(41.926418831, -87.668042465)",-87.668042465,60614
41.794226466,"(41.794226466, -87.658709999)",-87.658709999,60636
41.96242185,"(41.96242185, -87.688862275)",-87.688862275,60625
41.923897472,"(41.923897472, -87.76390557799999)",-87.76390557799999,60639
41.797703886,"(41.797703886, -87.606444779)",-87.606444779,60615
41.911792045,"(41.911792045, -87.667870459)",-87.667870459,60622
41.74985294,"(41.74985294, -87.687983475)",-87.687983475,60652
41.793645091,"(41.793645091, -87.65786076399998)",-87.65786076399998,60636
41.852153505,"(41.852153505, -87.68433838899998)",-87.68433838899998,60608
41.767731869,"(41.767731869, -87.70273790700001)",-87.70273790700001,60629
41.962313789,"(41.962313789, -87.688564554)",-87.688564554,60618
41.877070828,"(41.877070828, -87.718168316)",-87.718168316,60624
41.899325141,"(41.899325141, -87.704522346)",-87.704522346,60622
41.803264895,"(41.803264895, -87.72330350899998)",-87.72330350899998,60632
41.962880635,"(41.962880635, -87.65602445)",-87.65602445,60640
41.938253306,"(41.938253306, -87.66846320200001)",-87.66846320200001,60657
41.962596549000004,"(41.962596549000004, -87.655517675)",-87.655517675,60640
41.801235748,"(41.801235748, -87.68589577899998)",-87.68589577899998,60632
41.895779025,"(41.895779025, -87.628925203)",-87.628925203,60654
41.823563957,"(41.823563957, -87.684721126)",-87.684721126,60609
41.706487201,"(41.706487201, -87.682391059)",-87.682391059,60655
41.741741651,"(41.741741651, -87.663073329)",-87.663073329,60620
41.742473855,"(41.742473855, -87.66338548)",-87.66338548,60620
41.988904472,"(41.988904472, -87.668455725)",-87.668455725,60660
41.749370908,"(41.749370908, -87.719104675)",-87.719104675,60652
41.706267661,"(41.706267661, -87.682391472)",-87.682391472,60655
41.742993035,"(41.742993035, -87.66113776)",-87.66113776,60620
41.982994526999995,"(41.982994526999995, -87.79083208799999)",-87.79083208799999,60631
41.945574091,"(41.945574091, -87.688077853)",-87.688077853,60618
41.867401835,"(41.867401835, -87.725083688)",-87.725083688,60624
41.867602722,"(41.867602722, -87.725382743)",-87.725382743,60624
41.970134736,"(41.970134736, -87.747723797)",-87.747723797,60630
41.891134484,"(41.891134484, -87.61908944)",-87.61908944,60611
41.986119389,"(41.986119389, -87.78774082700001)",-87.78774082700001,60646
