Address,Location,Latitude,Longitude
8045 S KENWOOD AVE,"(41.7485226, -87.5912872)",41.7485226, -87.5912872
2945 N SAWYER AVE,"(41.9351698, -87.70871489999999)",41.9351698, -87.70871489999999
3516 W SCHOOL ST,"(41.9412821, -87.71524649999999)",41.9412821, -87.71524649999999
4707 W MARQUETTE RD,"(41.7707098, -87.7395655)",41.7707098, -87.7395655
4920 S THROOP ST,"(41.8044432, -87.6575739)",41.8044432, -87.6575739
3333 W PETERSON AVE,"(41.9900488, -87.71312329999999)",41.9900488, -87.71312329999999
6656 S NORMAL BL,"(41.7731916, -87.63682109999999)",41.7731916, -87.63682109999999
6114 W NORTH AVE,"(41.90948179999999, -87.7785488)",41.90948179999999, -87.7785488
2440 S LEAVITT ST,"(41.8472192, -87.680601)",41.8472192, -87.680601
2827 W ARTHINGTON ST,"(41.870131, -87.6971349)",41.870131, -87.6971349
10441 S LONGWOOD DR,"(41.7031778, -87.6708424)",41.7031778, -87.6708424
10354 S CHARLES ST,"(41.705373, -87.65851459999999)",41.705373, -87.65851459999999
2022 W CERMAK RD,"(41.8521615, -87.67688299999999)",41.8521615, -87.67688299999999
2828 N KILBOURN AVE,"(41.9326996, -87.73987790000001)",41.9326996, -87.73987790000001
7650 S WOLCOTT AVE,"(41.75460959999999, -87.67149739999999)",41.75460959999999, -87.67149739999999
1140 W 66TH ST,"(41.774826, -87.65379779999999)",41.774826, -87.65379779999999
4220 N RICHMOND ST,"(41.9581759, -87.7026015)",41.9581759, -87.7026015
517 W WISCONSIN ST,"(41.9164587, -87.6417884)",41.9164587, -87.6417884
10650 S LONGWOOD DR,"(41.6996246, -87.6712012)",41.6996246, -87.6712012
6445 W STRONG ST,"(41.9699408, -87.790275)",41.9699408, -87.790275
5255 S STATE ST,"(41.7990167, -87.6248351)",41.7990167, -87.6248351
5025 N LARAMIE AVE,"(41.9720396, -87.75681850000001)",41.9720396, -87.75681850000001
6156 S DORCHESTER AVE,"(41.782694, -87.59165899999999)",41.782694, -87.59165899999999
25 W 47TH ST,"(41.8092041, -87.62715899999999)",41.8092041, -87.62715899999999
3151 W WALNUT ST,"(41.8851078, -87.70488879999999)",41.8851078, -87.70488879999999
1725 N SPRINGFIELD AVE,"(41.912869, -87.7239692)",41.912869, -87.7239692
4257 N TRIPP AVE,"(41.958895, -87.733679)",41.958895, -87.733679
3020 N OAK PARK AVE,"(41.9352459, -87.7960202)",41.9352459, -87.7960202
3730 N OAKLEY AVE,"(41.9494917, -87.6865742)",41.9494917, -87.6865742
2456 N MANGO AVE,"(41.924838, -87.77026599999999)",41.924838, -87.77026599999999
10115 S PRAIRIE AVE,"(41.71052479999999, -87.6169857)",41.71052479999999, -87.6169857
3760 N PINE GROVE AVE,"(41.9511593, -87.6475437)",41.9511593, -87.6475437
8930 S MUSKEGON AVE,"(41.7330945, -87.5555985)",41.7330945, -87.5555985
4215 W WEST END AVE,"(41.8829556, -87.73127629999999)",41.8829556, -87.73127629999999
